Channel,Counts
0,12
1,14
2,40
3,178
4,185
5,33
6,22
7,16
8,24
9,23
10,23
11,18
12,21
13,15
14,20
15,23
16,19
17,23
18,23
19,23
20,18
21,28
22,13
23,24
24,21
25,32
26,14
27,14
28,18
29,20
30,18
31,19
32,21
33,25
34,19
35,15
36,15
37,10
38,19
39,19
40,23
41,25
42,18
43,23
44,18
45,18
46,12
47,14
48,23
49,21
50,14
51,18
52,22
53,23
54,21
55,13
56,16
57,22
58,13
59,15
60,16
61,17
62,12
63,23
64,24
65,12
66,13
67,13
68,18
69,20
70,17
71,10
72,14
73,20
74,12
75,19
76,12
77,20
78,18
79,17
80,15
81,13
82,19
83,15
84,17
85,13
86,17
87,16
88,11
89,14
90,10
91,14
92,15
93,12
94,11
95,15
96,14
97,18
98,15
99,15
100,14
101,15
102,16
103,14
104,21
105,15
106,14
107,10
108,15
109,20
110,19
111,9
112,16
113,14
114,10
115,13
116,19
117,13
118,10
119,13
120,12
121,12
122,14
123,16
124,23
125,16
126,16
127,17
128,16
129,20
130,23
131,11
132,12
133,17
134,14
135,17
136,19
137,18
138,21
139,25
140,16
141,21
142,20
143,14
144,18
145,20
146,10
147,17
148,16
149,15
150,24
151,20
152,24
153,30
154,19
155,12
156,11
157,22
158,12
159,21
160,21
161,20
162,12
163,16
164,26
165,22
166,17
167,16
168,19
169,23
170,15
171,19
172,18
173,21
174,21
175,29
176,24
177,28
178,30
179,19
180,29
181,21
182,22
183,33
184,15
185,22
186,25
187,19
188,19
189,10
190,18
191,21
192,15
193,16
194,17
195,16
196,20
197,21
198,22
199,23
200,28
201,22
202,26
203,24
204,23
205,24
206,22
207,32
208,18
209,22
210,22
211,25
212,34
213,14
214,22
215,18
216,18
217,22
218,26
219,24
220,35
221,30
222,33
223,22
224,26
225,25
226,20
227,23
228,25
229,22
230,27
231,23
232,19
233,18
234,18
235,27
236,19
237,19
238,15
239,27
240,18
241,16
242,25
243,24
244,24
245,16
246,21
247,22
248,20
249,23
250,24
251,18
252,17
253,29
254,17
255,17
256,17
257,27
258,24
259,25
260,22
261,15
262,24
263,23
264,22
265,19
266,14
267,21
268,23
269,25
270,27
271,22
272,22
273,26
274,32
275,19
276,21
277,27
278,15
279,25
280,23
281,21
282,24
283,20
284,21
285,19
286,13
287,12
288,22
289,27
290,29
291,25
292,22
293,13
294,16
295,30
296,25
297,15
298,25
299,24
300,27
301,20
302,23
303,34
304,17
305,23
306,27
307,33
308,23
309,21
310,20
311,24
312,30
313,24
314,20
315,24
316,20
317,32
318,23
319,14
320,22
321,23
322,19
323,25
324,16
325,22
326,23
327,23
328,20
329,31
330,26
331,19
332,19
333,18
334,21
335,28
336,28
337,17
338,25
339,22
340,29
341,21
342,20
343,32
344,21
345,18
346,25
347,28
348,17
349,32
350,30
351,20
352,28
353,23
354,13
355,26
356,34
357,27
358,18
359,20
360,26
361,23
362,34
363,31
364,17
365,17
366,18
367,16
368,23
369,28
370,21
371,22
372,34
373,14
374,20
375,29
376,14
377,25
378,32
379,22
380,15
381,22
382,23
383,29
384,30
385,18
386,23
387,17
388,25
389,28
390,25
391,12
392,23
393,12
394,20
395,20
396,17
397,17
398,30
399,28
400,33
401,19
402,24
403,14
404,21
405,21
406,23
407,26
408,21
409,20
410,18
411,19
412,19
413,28
414,24
415,24
416,13
417,20
418,16
419,18
420,20
421,19
422,30
423,22
424,19
425,18
426,24
427,23
428,13
429,23
430,31
431,22
432,32
433,18
434,30
435,22
436,19
437,18
438,14
439,25
440,19
441,24
442,29
443,28
444,24
445,17
446,31
447,22
448,26
449,20
450,25
451,17
452,21
453,28
454,28
455,25
456,30
457,29
458,18
459,23
460,13
461,20
462,21
463,16
464,26
465,20
466,19
467,20
468,17
469,27
470,23
471,15
472,19
473,18
474,23
475,25
476,21
477,17
478,20
479,13
480,33
481,19
482,21
483,16
484,22
485,20
486,11
487,17
488,18
489,24
490,17
491,14
492,18
493,23
494,20
495,21
496,19
497,25
498,18
499,22
500,30
501,17
502,16
503,19
504,22
505,20
506,17
507,22
508,29
509,24
510,12
511,19
512,16
513,31
514,22
515,25
516,15
517,23
518,12
519,16
520,23
521,23
522,21
523,19
524,20
525,18
526,19
527,23
528,26
529,18
530,31
531,29
532,24
533,31
534,22
535,18
536,24
537,25
538,29
539,22
540,26
541,20
542,35
543,21
544,23
545,25
546,25
547,21
548,20
549,18
550,20
551,26
552,19
553,27
554,28
555,23
556,28
557,23
558,25
559,25
560,18
561,33
562,23
563,38
564,20
565,25
566,22
567,32
568,18
569,19
570,16
571,22
572,24
573,15
574,30
575,20
576,16
577,25
578,29
579,31
580,23
581,16
582,27
583,25
584,27
585,20
586,21
587,24
588,22
589,22
590,21
591,19
592,20
593,18
594,24
595,27
596,17
597,26
598,22
599,17
600,25
601,20
602,17
603,18
604,17
605,19
606,12
607,26
608,17
609,22
610,24
611,18
612,18
613,23
614,16
615,18
616,10
617,19
618,20
619,19
620,11
