Channel,Counts
0,282
1,323
2,493
3,1051
4,894
5,510
6,507
7,548
8,629
9,697
10,660
11,674
12,732
13,740
14,749
15,793
16,723
17,769
18,718
19,698
20,756
21,745
22,719
23,779
24,729
25,757
26,793
27,761
28,802
29,817
30,774
31,717
32,793
33,730
34,746
35,770
36,699
37,760
38,752
39,729
40,779
41,770
42,729
43,732
44,744
45,752
46,770
47,791
48,858
49,973
50,953
51,1048
52,979
53,1068
54,1077
55,1056
56,995
57,932
58,975
59,891
60,955
61,986
62,1104
63,1334
64,1435
65,1483
66,1508
67,1471
68,1467
69,1441
70,1339
71,1239
72,1159
73,1042
74,1086
75,1199
76,1324
77,1534
78,1693
79,1953
80,2199
81,2378
82,2643
83,2873
84,3271
85,3514
86,4491
87,7534
88,14125
89,22848
90,29423
91,30585
92,29810
93,30034
94,31152
95,28637
96,20538
97,10358
98,4188
99,2221
100,1962
101,2733
102,4413
103,6790
104,7839
105,7920
106,8075
107,8512
108,8921
109,8068
110,5621
111,3558
112,2544
113,1646
114,980
115,781
116,764
117,739
118,629
119,638
120,650
121,602
122,613
123,622
124,638
125,651
126,636
127,647
128,644
129,679
130,662
131,594
132,686
133,683
134,670
135,701
136,696
137,694
138,679
139,682
140,705
141,726
142,748
143,772
144,709
145,750
146,740
147,773
148,804
149,846
150,746
151,849
152,844
153,856
154,868
155,854
156,854
157,863
158,833
159,867
160,871
161,900
162,896
163,937
164,930
165,974
166,939
167,994
168,984
169,997
170,1042
171,1014
172,1148
173,1179
174,1178
175,1167
176,1268
177,1518
178,1493
179,1480
180,1370
181,1260
182,1378
183,1327
184,1279
185,1169
186,1122
187,1107
188,1192
189,1105
190,1211
191,1281
192,1223
193,1236
194,1271
195,1392
196,1341
197,1503
198,1505
199,1533
200,1585
201,1747
202,1835
203,1897
204,1975
205,1943
206,1969
207,1984
208,1889
209,1764
210,1776
211,1706
212,1679
213,1624
214,1600
215,1650
216,1512
217,1447
218,1491
219,1429
220,1421
221,1429
222,1400
223,1444
224,1400
225,1436
226,1417
227,1452
228,1393
229,1425
230,1408
231,1467
232,1426
233,1416
234,1414
235,1420
236,1408
237,1439
238,1452
239,1415
240,1457
241,1474
242,1422
243,1465
244,1378
245,1317
246,1497
247,1411
248,1482
249,1446
250,1409
251,1434
252,1427
253,1457
254,1417
255,1402
256,1471
257,1464
258,1487
259,1560
260,1439
261,1455
262,1452
263,1509
264,1404
265,1371
266,1397
267,1434
268,1411
269,1393
270,1451
271,1405
272,1396
273,1485
274,1427
275,1377
276,1401
277,1395
278,1312
279,1349
280,1373
281,1382
282,1339
283,1362
284,1367
285,1402
286,1388
287,1465
288,1435
289,1534
290,1726
291,2314
292,4858
293,11427
294,19732
295,23366
296,21987
297,20468
298,20904
299,21536
300,18668
301,10889
302,4240
303,1606
304,1067
305,949
306,901
307,956
308,947
309,970
310,963
311,950
312,943
313,916
314,903
315,1008
316,962
317,957
318,923
319,982
320,979
321,964
322,934
323,958
324,933
325,967
326,947
327,928
328,939
329,982
330,885
331,950
332,952
333,920
334,904
335,936
336,893
337,874
338,956
339,918
340,937
341,908
342,952
343,895
344,876
345,956
346,858
347,936
348,885
349,879
350,899
351,980
352,892
353,911
354,866
355,1003
356,898
357,949
358,990
359,981
360,1009
361,1013
362,1030
363,1033
364,1049
365,1039
366,1046
367,1040
368,1073
369,1028
370,1045
371,1053
372,1044
373,1063
374,1092
375,1059
376,1063
377,1032
378,1113
379,1042
380,1045
381,1113
382,1056
383,1006
384,1066
385,981
386,1105
387,1014
388,1081
389,1058
390,963
391,1032
392,1107
393,1116
394,1132
395,1108
396,1115
397,1109
398,1090
399,1083
400,1042
401,1000
402,991
403,969
404,949
405,1006
406,988
407,983
408,924
409,985
410,984
411,1049
412,984
413,971
414,948
415,934
416,953
417,894
418,902
419,874
420,966
421,958
422,859
423,900
424,940
425,890
426,857
427,886
428,875
429,882
430,919
431,866
432,897
433,833
434,872
435,896
436,861
437,883
438,883
439,852
440,857
441,887
442,917
443,840
444,931
445,912
446,852
447,891
448,849
449,850
450,824
451,915
452,913
453,805
454,853
455,859
456,830
457,879
458,908
459,891
460,917
461,899
462,856
463,857
464,866
465,849
466,840
467,840
468,823
469,875
470,925
471,900
472,882
473,899
474,845
475,838
476,869
477,827
478,841
479,909
480,841
481,835
482,864
483,838
484,880
485,779
486,822
487,793
488,814
489,764
490,796
491,802
492,811
493,731
494,726
495,785
496,767
497,758
498,805
499,744
500,772
501,754
502,771
503,732
504,728
505,783
506,783
507,757
508,780
509,759
510,767
511,799
512,762
513,780
514,706
515,761
516,747
517,762
518,770
519,752
520,773
521,765
522,782
523,737
524,724
525,786
526,777
527,767
528,726
529,751
530,772
531,735
532,719
533,741
534,723
535,761
536,743
537,813
538,747
539,692
540,749
541,705
542,719
543,698
544,701
545,709
546,730
547,725
548,753
549,666
550,690
551,737
552,689
553,685
554,671
555,633
556,710
557,651
558,698
559,661
560,668
561,659
562,647
563,622
564,660
565,614
566,649
567,657
568,670
569,639
570,651
571,601
572,637
573,609
574,649
575,596
576,623
577,587
578,571
579,618
580,610
581,639
582,638
583,643
584,578
585,564
586,590
587,622
588,596
589,590
590,596
591,632
592,623
593,584
594,632
595,717
596,804
597,896
598,1357
599,2235
600,3553
601,4283
602,4356
603,4119
604,4014
605,4059
606,3680
607,2737
608,1478
609,728
610,617
611,535
612,492
613,562
614,514
615,530
616,548
617,503
618,512
619,489
620,527
621,524
622,471
623,532
624,531
625,530
626,478
627,470
628,474
629,501
630,459
631,491
632,463
633,476
634,473
635,466
636,486
637,459
638,466
639,450
640,444
641,432
642,431
643,445
644,492
645,490
646,471
647,469
648,452
649,441
650,404
651,435
652,433
653,430
654,424
655,429
656,437
657,458
658,429
659,441
660,433
661,391
662,427
663,407
664,456
665,442
666,444
667,436
668,424
669,468
670,460
671,449
672,409
673,430
674,434
675,429
676,416
677,433
678,450
679,437
680,425
681,432
682,451
683,415
684,389
685,445
686,380
687,397
688,427
689,365
690,372
691,411
692,417
693,382
694,401
695,394
696,421
697,397
698,389
699,390
700,413
701,431
702,413
703,416
704,401
705,401
706,359
707,359
708,368
709,368
710,389
711,373
712,341
713,353
714,364
715,380
716,381
717,376
718,379
719,383
720,365
721,341
722,384
723,377
724,376
725,354
726,414
727,430
728,495
729,537
730,486
731,515
732,508
733,501
734,512
735,436
736,392
737,370
738,331
739,349
740,360
741,375
742,290
743,321
744,371
745,321
746,333
747,369
748,296
749,333
750,298
751,341
752,306
753,313
754,325
755,334
756,323
757,298
758,342
759,324
760,316
761,283
762,290
763,286
764,314
765,293
766,305
767,321
768,320
769,286
770,307
771,314
772,305
773,283
774,334
775,337
776,290
777,315
778,332
779,322
780,322
781,310
782,339
783,304
784,294
785,312
786,317
787,296
788,308
789,313
790,314
791,285
792,314
793,288
794,269
795,302
796,289
797,300
798,280
799,305
800,339
801,303
802,325
803,326
804,303
805,312
806,313
807,361
808,300
809,298
810,309
811,336
812,331
813,368
814,302
815,331
816,339
817,329
818,302
819,310
820,284
821,285
822,270
823,258
824,297
825,291
826,271
827,286
828,275
829,303
830,325
831,314
832,296
833,314
834,266
835,309
836,314
837,375
838,397
839,412
840,476
841,500
842,622
843,840
844,1113
845,1647
846,2868
847,5071
848,7978
849,9908
850,10219
851,9574
852,9458
853,9212
854,8240
855,5640
856,2912
857,1137
858,402
859,301
860,253
861,254
862,247
863,238
864,230
865,256
866,250
867,230
868,265
869,230
870,273
871,253
872,229
873,243
874,249
875,244
876,234
877,262
878,250
879,237
880,249
881,245
882,258
883,249
884,253
885,212
886,237
887,222
888,231
889,236
890,223
891,239
892,256
893,255
894,247
895,243
896,249
897,263
898,216
899,241
900,264
901,234
902,233
903,297
904,334
905,335
906,448
907,550
908,560
909,530
910,449
911,498
912,479
913,468
914,354
915,275
916,263
917,246
918,243
919,234
920,248
921,228
922,229
923,196
924,241
925,226
926,240
927,221
928,229
929,252
930,244
931,236
932,248
933,245
934,233
935,243
936,216
937,249
938,219
939,201
940,252
941,243
942,242
943,242
944,239
945,220
946,237
947,242
948,223
949,277
950,214
951,241
952,219
953,240
954,253
955,271
956,225
957,207
958,209
959,230
960,245
961,234
962,201
963,209
964,213
965,219
966,218
967,225
968,196
969,215
970,235
971,241
972,219
973,242
974,204
975,218
976,218
977,186
978,215
979,224
980,226
981,200
982,228
983,196
984,199
985,215
986,245
987,235
988,202
989,225
990,217
991,219
992,215
993,246
994,210
995,223
996,220
997,267
998,211
999,255
1000,212
1001,223
1002,208
1003,213
1004,230
1005,216
1006,233
1007,219
1008,238
1009,254
1010,277
1011,332
1012,367
1013,516
1014,712
1015,803
1016,887
1017,884
1018,782
1019,852
1020,807
1021,678
1022,476
1023,314
1024,249
1025,236
1026,213
1027,245
1028,282
1029,224
1030,234
1031,208
1032,221
1033,252
1034,221
1035,231
1036,220
1037,216
1038,231
1039,211
1040,197
1041,232
1042,204
1043,217
1044,229
1045,211
1046,231
1047,217
1048,198
1049,213
1050,198
1051,207
1052,196
1053,219
1054,220
1055,242
1056,228
1057,205
1058,213
1059,221
1060,203
1061,194
1062,204
1063,210
1064,182
1065,208
1066,228
1067,185
1068,183
1069,206
1070,186
1071,211
1072,220
1073,206
1074,224
1075,198
1076,197
1077,216
1078,243
1079,206
1080,245
1081,196
1082,223
1083,244
1084,228
1085,244
1086,220
1087,221
1088,227
1089,244
1090,258
1091,278
1092,281
1093,329
1094,447
1095,651
1096,766
1097,1041
1098,1116
1099,1015
1100,1066
1101,1021
1102,968
1103,755
1104,541
1105,321
1106,247
1107,229
1108,201
1109,225
1110,213
1111,206
1112,199
1113,185
1114,189
1115,212
1116,217
1117,206
1118,203
1119,194
1120,207
1121,200
1122,241
1123,181
1124,217
1125,211
1126,215
1127,201
1128,221
1129,176
1130,204
1131,192
1132,228
1133,198
1134,218
1135,214
1136,190
1137,194
1138,193
1139,212
1140,194
1141,190
1142,198
1143,185
1144,211
1145,169
1146,183
1147,219
1148,210
1149,191
1150,234
1151,186
1152,226
1153,221
1154,198
1155,204
1156,198
1157,214
1158,194
1159,198
1160,224
1161,213
1162,192
1163,227
1164,235
1165,209
1166,188
1167,199
1168,233
1169,204
1170,230
1171,215
1172,215
1173,229
1174,205
1175,202
1176,194
1177,212
1178,201
1179,212
1180,214
1181,224
1182,222
1183,195
1184,199
1185,209
1186,202
1187,212
1188,217
1189,197
1190,210
1191,211
1192,215
1193,217
1194,224
1195,233
1196,195
1197,232
1198,241
1199,227
1200,214
1201,230
1202,212
1203,219
1204,248
1205,235
1206,238
1207,279
1208,304
1209,303
1210,304
1211,307
1212,264
1213,323
1214,317
1215,260
1216,226
1217,259
1218,231
1219,215
1220,205
1221,240
1222,228
1223,213
1224,194
1225,235
1226,236
1227,202
1228,215
1229,208
1230,219
1231,206
1232,220
1233,224
1234,214
1235,221
1236,230
1237,219
1238,214
1239,230
1240,213
1241,225
1242,221
1243,203
1244,202
1245,239
1246,233
1247,236
1248,282
1249,238
1250,218
1251,268
1252,206
1253,222
1254,209
1255,201
1256,202
1257,230
1258,217
1259,243
1260,238
1261,237
1262,229
1263,229
1264,237
1265,244
1266,238
1267,222
1268,220
1269,224
1270,242
1271,212
1272,225
1273,197
1274,201
1275,220
1276,207
1277,212
1278,199
1279,213
1280,206
1281,207
1282,205
1283,217
1284,216
1285,220
1286,228
1287,251
1288,241
1289,240
1290,220
1291,239
1292,213
1293,198
1294,232
1295,207
1296,217
1297,209
1298,222
1299,193
1300,210
1301,197
1302,210
1303,206
1304,206
1305,184
1306,239
1307,218
1308,224
1309,239
1310,181
1311,206
1312,219
1313,210
1314,223
1315,217
1316,217
1317,219
1318,213
1319,255
1320,212
1321,254
1322,180
1323,227
1324,220
1325,223
1326,211
1327,210
1328,193
1329,202
1330,211
1331,210
1332,209
1333,222
1334,203
1335,206
1336,234
1337,230
1338,204
1339,205
1340,217
1341,215
1342,206
1343,196
1344,195
1345,219
1346,224
1347,223
1348,198
1349,222
1350,219
1351,200
1352,241
1353,205
1354,209
1355,215
1356,220
1357,231
1358,191
1359,228
1360,230
1361,235
1362,240
1363,198
1364,200
1365,218
1366,230
1367,211
1368,213
1369,238
1370,210
1371,229
1372,220
1373,223
1374,220
1375,213
1376,226
1377,234
1378,237
1379,239
1380,208
1381,237
1382,222
1383,252
1384,194
1385,240
1386,245
1387,253
1388,236
1389,234
1390,220
1391,270
1392,255
1393,286
1394,280
1395,318
1396,332
1397,350
1398,350
1399,328
1400,346
1401,329
1402,339
1403,291
1404,275
1405,263
1406,244
1407,257
1408,235
1409,235
1410,217
1411,242
1412,228
1413,228
1414,212
1415,230
1416,220
1417,198
1418,240
1419,235
1420,255
1421,247
1422,210
1423,208
1424,226
1425,229
1426,236
1427,250
1428,222
1429,223
1430,228
1431,225
1432,233
1433,232
1434,255
1435,247
1436,216
1437,220
1438,227
1439,239
1440,202
1441,224
1442,215
1443,232
1444,224
1445,258
1446,245
1447,225
1448,258
1449,253
1450,296
1451,295
1452,303
1453,311
1454,311
1455,306
1456,290
1457,285
1458,264
1459,230
1460,226
1461,216
1462,186
1463,199
1464,220
1465,185
1466,196
1467,183
1468,198
1469,198
1470,206
1471,192
1472,198
1473,195
1474,212
1475,199
1476,185
1477,199
1478,178
1479,184
1480,229
1481,171
1482,187
1483,184
1484,210
1485,197
1486,176
1487,183
1488,173
1489,196
1490,199
1491,179
1492,225
1493,199
1494,207
1495,199
1496,181
1497,196
1498,196
1499,189
1500,188
1501,176
1502,193
1503,192
1504,179
1505,209
1506,208
1507,186
1508,197
1509,196
1510,204
1511,183
1512,177
1513,207
1514,172
1515,208
1516,185
1517,184
1518,189
1519,176
1520,184
1521,160
1522,178
1523,222
1524,200
1525,212
1526,179
1527,182
1528,191
1529,169
1530,212
1531,167
1532,188
1533,197
1534,209
1535,182
1536,207
1537,184
1538,192
1539,154
1540,179
1541,172
1542,177
1543,196
1544,190
1545,189
1546,206
1547,198
1548,195
1549,219
1550,200
1551,186
1552,194
1553,169
1554,177
1555,194
1556,190
1557,183
1558,200
1559,170
1560,189
1561,150
1562,173
1563,191
1564,170
1565,185
1566,190
1567,206
1568,187
1569,182
1570,230
1571,189
1572,180
1573,189
1574,168
1575,151
1576,182
1577,183
1578,176
1579,193
1580,201
1581,174
1582,198
1583,201
1584,172
1585,173
1586,176
1587,181
1588,183
1589,208
1590,173
1591,209
1592,190
1593,184
1594,172
1595,191
1596,164
1597,193
1598,176
1599,183
1600,177
1601,187
1602,182
1603,190
1604,204
1605,169
1606,189
1607,190
1608,189
1609,176
1610,209
1611,189
1612,187
1613,188
1614,201
1615,180
1616,198
1617,169
1618,189
1619,171
1620,182
1621,178
1622,201
1623,213
1624,213
1625,186
1626,223
1627,204
1628,227
1629,225
1630,213
1631,217
1632,207
1633,216
1634,181
1635,179
1636,200
1637,171
1638,162
1639,180
1640,189
1641,200
1642,191
1643,183
1644,168
1645,181
1646,212
1647,167
1648,160
1649,181
1650,203
1651,163
1652,164
1653,175
1654,169
1655,175
1656,172
1657,176
1658,200
1659,182
1660,179
1661,193
1662,188
1663,186
1664,172
1665,192
1666,182
1667,185
1668,181
1669,196
1670,216
1671,193
1672,213
1673,215
1674,198
1675,242
1676,207
1677,234
1678,207
1679,237
1680,222
1681,260
1682,253
1683,279
1684,248
1685,230
1686,254
1687,224
1688,236
1689,206
1690,171
1691,180
1692,192
1693,167
1694,190
1695,188
1696,158
1697,175
1698,163
1699,208
1700,189
1701,191
1702,182
1703,207
1704,236
1705,274
1706,291
1707,294
1708,308
1709,308
1710,323
1711,308
1712,233
1713,228
1714,198
1715,187
1716,175
1717,156
1718,176
1719,192
1720,156
1721,153
1722,191
1723,172
1724,155
1725,170
1726,171
1727,164
1728,178
1729,171
1730,187
1731,162
1732,182
1733,157
1734,195
1735,194
1736,180
1737,180
1738,178
1739,176
1740,181
1741,172
1742,189
1743,178
1744,192
1745,182
1746,195
1747,159
1748,187
1749,166
1750,185
1751,180
1752,166
1753,176
1754,180
1755,179
1756,158
1757,172
1758,185
1759,189
1760,191
1761,172
1762,179
1763,183
1764,178
1765,211
1766,218
1767,201
1768,190
1769,215
1770,184
1771,194
1772,207
1773,174
1774,171
1775,185
1776,192
1777,196
1778,181
1779,196
1780,194
1781,194
1782,217
1783,222
1784,237
1785,239
1786,212
1787,228
1788,221
1789,217
1790,190
1791,176
1792,177
1793,200
1794,204
1795,205
1796,188
1797,199
1798,186
1799,192
1800,160
1801,177
1802,218
1803,171
1804,195
1805,185
1806,209
1807,175
1808,200
1809,178
1810,194
1811,178
1812,196
1813,208
1814,196
1815,175
1816,185
1817,202
1818,164
1819,177
1820,207
1821,188
1822,179
1823,180
1824,196
1825,199
1826,175
1827,192
1828,185
1829,188
1830,179
1831,180
1832,213
1833,195
1834,186
1835,202
1836,184
1837,177
1838,188
1839,209
1840,173
1841,173
1842,190
1843,192
1844,184
1845,184
1846,184
1847,185
1848,209
1849,195
1850,186
1851,170
1852,175
1853,177
1854,175
1855,173
1856,172
1857,197
1858,203
1859,202
1860,185
1861,182
1862,175
1863,206
1864,209
1865,184
1866,201
1867,195
1868,196
1869,207
1870,182
1871,175
1872,196
1873,183
1874,191
1875,180
1876,208
1877,179
1878,183
1879,181
1880,185
1881,177
1882,185
1883,188
1884,196
1885,167
1886,184
1887,202
1888,177
1889,187
1890,171
1891,183
1892,179
1893,193
1894,170
1895,182
1896,161
1897,218
1898,192
1899,208
1900,197
1901,209
1902,204
1903,184
1904,166
1905,186
1906,194
1907,177
1908,172
1909,195
1910,187
1911,192
1912,196
1913,195
1914,183
1915,178
1916,227
1917,213
1918,233
1919,246
1920,286
1921,275
1922,341
1923,336
1924,424
1925,482
1926,490
1927,638
1928,844
1929,1192
1930,1534
1931,1976
1932,2115
1933,2160
1934,2080
1935,2026
1936,1802
1937,1523
1938,1083
1939,651
1940,317
1941,219
1942,171
1943,153
1944,161
1945,149
1946,150
1947,170
1948,148
1949,157
1950,123
1951,135
1952,152
1953,159
1954,141
1955,151
1956,134
1957,163
1958,156
1959,156
1960,151
1961,136
1962,171
1963,172
1964,163
1965,134
1966,157
1967,142
1968,179
1969,158
1970,164
1971,146
1972,147
1973,181
1974,130
1975,157
1976,136
1977,146
1978,157
1979,156
1980,177
1981,160
1982,168
1983,160
1984,138
1985,147
1986,148
1987,148
1988,155
1989,165
1990,134
1991,144
1992,154
1993,160
1994,147
1995,167
1996,147
1997,156
1998,163
1999,174
2000,146
2001,163
2002,158
2003,181
2004,166
2005,178
2006,180
2007,172
2008,200
2009,221
2010,218
2011,207
2012,208
2013,204
2014,196
2015,207
2016,172
2017,174
2018,147
2019,162
2020,142
2021,162
2022,174
2023,194
2024,142
2025,152
2026,159
2027,133
2028,135
2029,154
2030,158
2031,140
2032,148
2033,167
2034,160
2035,161
2036,143
2037,166
2038,149
2039,164
2040,148
2041,148
2042,147
2043,139
2044,152
2045,155
2046,144
2047,144
2048,162
2049,160
2050,196
2051,149
2052,158
2053,159
2054,169
2055,153
2056,144
2057,159
2058,159
2059,169
2060,152
2061,152
2062,134
2063,157
2064,163
2065,132
2066,145
2067,151
2068,147
2069,147
2070,152
2071,139
2072,177
2073,165
2074,167
2075,147
2076,127
2077,155
2078,151
2079,162
2080,164
2081,162
2082,187
2083,161
2084,165
2085,155
2086,193
2087,170
2088,190
2089,178
2090,186
2091,151
2092,172
2093,150
2094,145
2095,164
2096,154
2097,152
2098,170
2099,156
2100,153
2101,138
2102,142
2103,150
2104,149
2105,135
2106,152
2107,157
2108,175
2109,150
2110,165
2111,153
2112,167
2113,143
2114,161
2115,139
2116,156
2117,144
2118,152
2119,146
2120,158
2121,154
2122,156
2123,152
2124,164
2125,157
2126,130
2127,177
2128,158
2129,158
2130,156
2131,161
2132,172
2133,181
2134,175
2135,157
2136,175
2137,187
2138,157
2139,197
2140,182
2141,199
2142,188
2143,236
2144,242
2145,216
2146,276
2147,292
2148,321
2149,397
2150,508
2151,601
2152,654
2153,739
2154,671
2155,688
2156,640
2157,610
2158,428
2159,332
2160,236
2161,199
2162,162
2163,172
2164,151
2165,148
2166,167
2167,157
2168,182
2169,139
2170,165
2171,168
2172,155
2173,145
2174,146
2175,152
2176,166
2177,139
2178,158
2179,138
2180,134
2181,133
2182,159
2183,153
2184,179
2185,161
2186,123
2187,137
2188,140
2189,143
2190,156
2191,176
2192,166
2193,140
2194,146
2195,136
2196,165
2197,135
2198,138
2199,133
2200,150
2201,144
2202,121
2203,149
2204,115
2205,144
2206,127
2207,137
2208,131
2209,141
2210,164
2211,145
2212,147
2213,139
2214,124
2215,137
2216,134
2217,111
2218,143
2219,148
2220,146
2221,158
2222,153
2223,134
2224,148
2225,151
2226,140
2227,135
2228,158
2229,136
2230,156
2231,142
2232,154
2233,156
2234,152
2235,158
2236,151
2237,154
2238,144
2239,141
2240,145
2241,124
2242,122
2243,150
2244,131
2245,150
2246,127
2247,116
2248,119
2249,127
2250,122
2251,118
2252,110
2253,128
2254,112
2255,114
2256,117
2257,126
2258,104
2259,136
2260,97
2261,128
2262,93
2263,135
2264,139
2265,128
2266,87
2267,114
2268,109
2269,115
2270,97
2271,112
2272,129
2273,113
2274,106
2275,117
2276,131
2277,147
2278,131
2279,148
2280,142
2281,139
2282,182
2283,173
2284,168
2285,143
2286,162
2287,134
2288,135
2289,129
2290,118
2291,121
2292,97
2293,107
2294,127
2295,120
2296,95
2297,136
2298,138
2299,139
2300,145
