Channel,Counts
0,1420
1,1922
2,2387
3,10602
4,30547
5,11780
6,3992
7,3370
8,3522
9,3804
10,4152
11,4356
12,4548
13,4564
14,4730
15,4750
16,4870
17,4984
18,4974
19,4942
20,4951
21,5028
22,5022
23,4992
24,4929
25,4904
26,4915
27,5020
28,4848
29,4918
30,4806
31,4976
32,5077
33,4865
34,5015
35,4885
36,5048
37,4932
38,4861
39,4876
40,4953
41,4980
42,5009
43,4778
44,4932
45,4788
46,4993
47,5154
48,5211
49,5337
50,5511
51,5418
52,5352
53,5379
54,5586
55,5361
56,5481
57,5344
58,5253
59,5116
60,4932
61,4885
62,4763
63,4805
64,4929
65,4914
66,4679
67,4764
68,4726
69,4655
70,4733
71,4848
72,4892
73,4713
74,4812
75,4827
76,4867
77,4892
78,4892
79,5064
80,5226
81,5351
82,5346
83,5429
84,5668
85,5797
86,5930
87,6198
88,6338
89,6675
90,6783
91,7140
92,7676
93,8000
94,8329
95,8564
96,8877
97,9165
98,9442
99,9889
100,10231
101,10443
102,10947
103,11432
104,12214
105,12868
106,13816
107,15601
108,18515
109,22575
110,27307
111,32253
112,35468
113,36028
114,34876
115,33359
116,33182
117,32432
118,30170
119,25806
120,19789
121,13214
122,9400
123,7838
124,7605
125,8211
126,8839
127,10429
128,11951
129,12742
130,12806
131,12869
132,12985
133,13066
134,13130
135,12985
136,11501
137,10102
138,8564
139,7962
140,7556
141,6989
142,6887
143,6889
144,6953
145,7039
146,7056
147,7374
148,7437
149,7597
150,7547
151,7659
152,7776
153,7670
154,7810
155,7819
156,7906
157,7806
158,7944
159,8056
160,7905
161,7941
162,8125
163,8050
164,8206
165,8217
166,8327
167,8493
168,8509
169,8930
170,9233
171,9424
172,9735
173,9576
174,9891
175,10152
176,10928
177,11030
178,11346
179,10903
180,10752
181,10910
182,10872
183,11047
184,11205
185,10737
186,10976
187,11614
188,13320
189,16306
190,20149
191,23078
192,22754
193,21535
194,20715
195,20529
196,21253
197,21249
198,19359
199,15176
200,11160
201,9303
202,8505
203,8498
204,8610
205,8607
206,8345
207,8534
208,8633
209,8381
210,8068
211,7930
212,7745
213,7835
214,7745
215,7736
216,7669
217,7578
218,7514
219,7552
220,7699
221,7588
222,7514
223,7818
224,7767
225,7798
226,7900
227,8033
228,7881
229,7923
230,7979
231,7955
232,8031
233,7973
234,8053
235,8058
236,7964
237,7951
238,7883
239,8142
240,8181
241,8115
242,8290
243,8217
244,8185
245,8245
246,8362
247,8546
248,8510
249,8535
250,8594
251,8780
252,8928
253,9088
254,8867
255,9377
256,9608
257,9726
258,9941
259,10367
260,10394
261,10600
262,11017
263,11198
264,11478
265,11831
266,11584
267,11821
268,12003
269,11788
270,11776
271,11926
272,11725
273,11861
274,11741
275,11735
276,11598
277,11423
278,11316
279,11357
280,11070
281,11171
282,10857
283,10810
284,10754
285,10626
286,10683
287,10461
288,10645
289,10405
290,10477
291,10558
292,10546
293,10434
294,10479
295,10318
296,10049
297,10038
298,9876
299,9726
300,9844
301,9684
302,9586
303,9525
304,9449
305,9466
306,9236
307,9321
308,9342
309,9099
310,9041
311,9109
312,9027
313,9178
314,9127
315,8997
316,9104
317,8960
318,8955
319,9156
320,8941
321,8757
322,9176
323,9132
324,8984
325,9362
326,9373
327,9252
328,9214
329,9239
330,9447
331,9430
332,9415
333,9328
334,9481
335,9336
336,9409
337,9271
338,9351
339,9413
340,9533
341,9501
342,9338
343,9323
344,9329
345,9296
346,9263
347,9368
348,9200
349,9235
350,9119
351,9107
352,8955
353,8937
354,9077
355,8949
356,8937
357,9022
358,8792
359,8801
360,8622
361,8578
362,8622
363,8583
364,8620
365,8578
366,8639
367,8317
368,8243
369,8296
370,8414
371,8279
372,8285
373,8486
374,8307
375,8241
376,8348
377,8171
378,8117
379,8141
380,8088
381,8166
382,8233
383,8103
384,8296
385,8340
386,8156
387,8284
388,8251
389,8358
390,8294
391,8144
392,8225
393,8159
394,8258
395,8200
396,8221
397,8244
398,8080
399,8062
400,8051
401,8025
402,8149
403,8166
404,7946
405,7687
406,7901
407,7640
408,7780
409,7579
410,7764
411,7712
412,7781
413,7689
414,7623
415,7649
416,7730
417,7602
418,7535
419,7340
420,7484
421,7425
422,7504
423,7513
424,7390
425,7426
426,7471
427,7426
428,7377
429,7495
430,7259
431,7393
432,7389
433,7564
434,7419
435,7797
436,8037
437,8254
438,8791
439,9579
440,10198
441,11262
442,12740
443,14702
444,17828
445,22891
446,32172
447,49222
448,71396
449,87883
450,91221
451,85529
452,80758
453,78906
454,80379
455,80606
456,71899
457,51221
458,28497
459,13545
460,7366
461,5848
462,5571
463,5694
464,5798
465,5659
466,5739
467,5782
468,5916
469,5903
470,5825
471,5631
472,5799
473,5940
474,5684
475,5758
476,5754
477,5647
478,5768
479,5807
480,5793
481,5693
482,5824
483,5738
484,5837
485,5693
486,5732
487,5876
488,5916
489,5856
490,5722
491,5834
492,5790
493,5774
494,5587
495,5767
496,5660
497,5750
498,5709
499,5675
500,5563
501,5644
502,5550
503,5599
504,5685
505,5535
506,5520
507,5635
508,5551
509,5394
510,5596
511,5539
512,5462
513,5585
514,5486
515,5501
516,5463
517,5287
518,5478
519,5570
520,5510
521,5539
522,5893
523,6215
524,6421
525,7052
526,7590
527,8160
528,8257
529,8110
530,7914
531,7827
532,7647
533,7575
534,7132
535,6461
536,5659
537,5042
538,4968
539,4823
540,4771
541,4987
542,4649
543,4721
544,4692
545,4776
546,4689
547,4606
548,4576
549,4596
550,4564
551,4643
552,4392
553,4423
554,4476
555,4572
556,4499
557,4526
558,4553
559,4434
560,4347
561,4316
562,4512
563,4509
564,4565
565,4594
566,4535
567,4586
568,4576
569,4485
570,4536
571,4565
572,4523
573,4495
574,4381
575,4355
576,4209
577,4236
578,4171
579,4261
580,3971
581,3983
582,4069
583,4056
584,4090
585,4014
586,4029
587,3985
588,3936
589,3960
590,4003
591,3934
592,3995
593,3938
594,3970
595,3886
596,3865
597,3858
598,3846
599,3891
600,3833
601,3741
602,3763
603,3783
604,3620
605,3784
606,3676
607,3706
608,3751
609,3787
610,3637
611,3699
612,3641
613,3694
614,3731
615,3537
616,3540
617,3604
618,3600
619,3677
620,3564
621,3507
622,3556
623,3604
624,3525
625,3623
626,3634
627,3572
628,3513
629,3481
630,3462
631,3650
632,3731
633,3808
634,3913
635,4192
636,4244
637,4474
638,4278
639,4250
640,4319
641,4212
642,4239
643,4100
644,3839
645,3658
646,3434
647,3278
648,3268
649,3317
650,3255
651,3304
652,3352
653,3272
654,3196
655,3436
656,3252
657,3269
658,3196
659,3150
660,3202
661,3169
662,3196
663,3156
664,3100
665,3241
666,3138
667,3088
668,3136
669,3083
670,3234
671,3140
672,3184
673,3222
674,3217
675,3322
676,3614
677,3767
678,3868
679,4392
680,4668
681,5373
682,6097
683,7353
684,9573
685,13373
686,18801
687,24464
688,27524
689,27387
690,26039
691,24930
692,24786
693,24404
694,23754
695,19946
696,13755
697,7917
698,4489
699,3243
700,2727
701,2755
702,2732
703,2808
704,2675
705,2780
706,2771
707,2696
708,2709
709,2765
710,2595
711,2681
712,2740
713,2691
714,2641
715,2627
716,2684
717,2636
718,2747
719,2548
720,2633
721,2710
722,2568
723,2629
724,2650
725,2611
726,2640
727,2596
728,2670
729,2664
730,2724
731,2757
732,2861
733,2932
734,3148
735,3584
736,4101
737,4775
738,5322
739,5425
740,5282
741,5173
742,5100
743,5078
744,5055
745,4746
746,3916
747,3235
748,2772
749,2533
750,2491
751,2542
752,2470
753,2391
754,2462
755,2503
756,2518
757,2526
758,2433
759,2451
760,2365
761,2466
762,2441
763,2489
764,2376
765,2435
766,2443
767,2368
768,2399
769,2406
770,2376
771,2439
772,2501
773,2350
774,2385
775,2350
776,2411
777,2293
778,2378
779,2307
780,2433
781,2402
782,2404
783,2417
784,2424
785,2340
786,2438
787,2394
788,2319
789,2355
790,2426
791,2445
792,2377
793,2396
794,2412
795,2376
796,2445
797,2407
798,2425
799,2401
800,2436
801,2451
802,2438
803,2395
804,2352
805,2270
806,2370
807,2388
808,2361
809,2376
810,2410
811,2419
812,2336
813,2358
814,2332
815,2454
816,2322
817,2306
818,2324
819,2291
820,2339
821,2317
822,2380
823,2367
824,2275
825,2346
826,2335
827,2356
828,2284
829,2378
830,2391
831,2404
832,2321
833,2292
834,2481
835,2388
836,2467
837,2421
838,2401
839,2357
840,2391
841,2335
842,2416
843,2327
844,2358
845,2296
846,2236
847,2400
848,2221
849,2297
850,2279
851,2332
852,2236
853,2254
854,2240
855,2217
856,2296
857,2313
858,2271
859,2266
860,2257
861,2343
862,2234
863,2319
864,2209
865,2244
866,2274
867,2199
868,2313
869,2332
870,2245
871,2195
872,2264
873,2224
874,2264
875,2250
876,2216
877,2241
878,2281
879,2297
880,2206
881,2241
882,2248
883,2256
884,2199
885,2289
886,2231
887,2217
888,2277
889,2278
890,2300
891,2426
892,2265
893,2345
894,2414
895,2558
896,2674
897,2907
898,3360
899,3441
900,3809
901,3774
902,3740
903,3560
904,3569
905,3494
906,3443
907,3176
908,2917
909,2490
910,2285
911,2227
912,2203
913,2119
914,2136
915,2110
916,2090
917,2121
918,2113
919,2064
920,2111
921,2095
922,2232
923,2124
924,2047
925,2077
926,2107
927,2101
928,2110
929,2003
930,2145
931,2038
932,2058
933,2097
934,2107
935,2162
936,2058
937,2034
938,2070
939,2109
940,2081
941,2059
942,2140
943,2116
944,2018
945,2080
946,2159
947,2041
948,2127
949,2099
950,2084
951,2089
952,2023
953,2126
954,2075
955,2117
956,2159
957,2125
958,2178
959,2028
960,2026
961,2088
962,2074
963,2116
964,2003
965,2142
966,2090
967,2012
968,1995
969,2003
970,2013
971,2063
972,2089
973,2019
974,2041
975,1951
976,1999
977,2016
978,2014
979,1934
980,2080
981,1945
982,1994
983,2097
984,1999
985,1982
986,2062
987,2045
988,2028
989,2071
990,1954
991,2093
992,2007
993,2018
994,2037
995,2062
996,1965
997,2019
998,2075
999,2123
1000,2166
1001,2277
1002,2358
1003,2470
1004,2563
1005,2712
1006,3068
1007,3373
1008,4062
1009,4944
1010,6201
1011,7752
1012,8597
1013,8511
1014,8245
1015,8249
1016,7975
1017,7789
1018,7495
1019,6736
1020,5339
1021,3699
1022,2652
1023,2156
1024,1955
1025,2023
1026,1943
1027,1965
1028,1939
1029,1936
1030,2024
1031,1943
1032,2035
1033,1981
1034,2004
1035,2004
1036,1930
1037,2007
1038,1900
1039,1991
1040,1959
1041,1943
1042,1923
1043,2042
1044,1891
1045,1912
1046,1968
1047,1893
1048,1876
1049,1929
1050,1834
1051,1939
1052,1853
1053,1853
1054,1886
1055,1880
1056,1929
1057,1923
1058,1928
1059,1929
1060,1838
1061,1884
1062,1871
1063,1911
1064,1954
1065,1979
1066,1915
1067,1948
1068,1911
1069,1940
1070,1933
1071,1969
1072,1875
1073,1918
1074,1866
1075,1954
1076,1895
1077,1951
1078,1930
1079,1909
1080,1985
1081,1967
1082,1966
1083,1927
1084,2017
1085,1945
1086,1937
1087,1887
1088,1923
1089,1882
1090,1906
1091,1938
1092,1887
1093,1899
1094,1877
1095,2021
1096,1939
1097,1970
1098,1927
1099,1971
1100,1926
1101,1973
1102,1987
1103,2067
1104,2079
1105,1952
1106,2226
1107,2184
1108,2284
1109,2559
1110,2746
1111,3008
1112,3292
1113,3511
1114,3486
1115,3455
1116,3351
1117,3388
1118,3370
1119,3290
1120,2976
1121,2754
1122,2287
1123,2168
1124,1970
1125,1941
1126,2008
1127,1952
1128,1963
1129,1984
1130,2026
1131,2086
1132,2043
1133,1996
1134,1955
1135,2009
1136,2029
1137,2065
1138,2039
1139,2081
1140,2023
1141,2105
1142,2271
1143,2331
1144,2504
1145,2648
1146,2751
1147,2720
1148,2659
1149,2564
1150,2613
1151,2634
1152,2620
1153,2416
1154,2224
1155,2137
1156,2109
1157,1982
1158,2003
1159,1962
1160,1976
1161,1977
1162,1964
1163,1933
1164,1912
1165,2035
1166,1934
1167,1927
1168,1888
1169,2013
1170,1990
1171,2044
1172,2010
1173,2033
1174,1997
1175,2083
1176,1998
1177,2087
1178,2013
1179,2100
1180,1999
1181,1986
1182,1998
1183,1919
1184,2023
1185,2089
1186,1954
1187,2053
1188,1955
1189,2086
1190,2028
1191,2075
1192,2054
1193,2080
1194,2110
1195,1971
1196,2037
1197,2059
1198,2090
1199,2066
1200,2074
1201,2059
1202,2064
1203,2060
1204,2051
1205,2061
1206,1980
1207,2085
1208,2014
1209,2107
1210,2044
1211,2058
1212,2032
1213,1963
1214,2089
1215,2019
1216,2051
1217,2056
1218,2079
1219,2095
1220,2039
1221,2061
1222,1995
1223,2070
1224,2079
1225,2092
1226,2123
1227,2145
1228,2187
1229,2071
1230,2103
1231,2160
1232,2093
1233,2215
1234,2009
1235,2100
1236,2047
1237,2093
1238,2135
1239,2068
1240,2143
1241,2011
1242,2092
1243,2100
1244,2056
1245,2064
1246,2158
1247,2036
1248,2128
1249,2065
1250,2112
1251,2074
1252,2105
1253,2096
1254,2102
1255,2100
1256,2068
1257,2090
1258,2052
1259,2075
1260,2120
1261,2115
1262,2112
1263,2101
1264,2112
1265,2143
1266,2127
1267,2171
1268,2129
1269,2176
1270,2154
1271,2210
1272,2155
1273,2147
1274,2220
1275,2117
1276,2128
1277,2150
1278,2047
1279,2129
