Channel,Counts
0,18
1,36
2,61
3,75
4,37
5,35
6,38
7,42
8,37
9,43
10,37
11,44
12,47
13,41
14,60
15,40
16,35
17,43
18,43
19,45
20,28
21,35
22,38
23,26
24,27
25,29
26,41
27,47
28,34
29,40
30,30
31,34
32,32
33,49
34,39
35,29
36,32
37,27
38,42
39,23
40,29
41,23
42,38
43,43
44,32
45,25
46,36
47,25
48,44
49,28
50,48
51,37
52,44
53,39
54,37
55,43
56,41
57,36
58,23
59,36
60,35
61,24
62,33
63,17
64,27
65,28
66,33
67,29
68,40
69,26
70,34
71,37
72,23
73,38
74,35
75,42
76,28
77,30
78,34
79,26
80,38
81,36
82,39
83,40
84,42
85,37
86,33
87,35
88,33
89,32
90,28
91,39
92,29
93,37
94,29
95,18
96,36
97,44
98,33
99,32
100,23
101,49
102,43
103,36
104,45
105,36
106,37
107,42
108,49
109,45
110,32
111,31
112,38
113,45
114,39
115,33
116,34
117,39
118,40
119,39
120,56
121,34
122,40
123,38
124,40
125,47
126,34
127,34
128,45
129,39
130,29
131,48
132,35
133,46
134,46
135,36
136,43
137,41
138,44
139,37
140,30
141,63
142,37
143,45
144,48
145,52
146,55
147,59
148,54
149,57
150,51
151,46
152,56
153,60
154,53
155,45
156,56
157,55
158,62
159,55
160,54
161,57
162,63
163,57
164,50
165,65
166,48
167,54
168,66
169,61
170,58
171,59
172,73
173,65
174,82
175,55
176,71
177,73
178,81
179,83
180,82
181,74
182,91
183,65
184,80
185,59
186,60
187,64
188,66
189,67
190,77
191,64
192,69
193,55
194,63
195,66
196,58
197,66
198,56
199,81
200,72
201,77
202,92
203,98
204,99
205,84
206,73
207,80
208,75
209,59
210,67
211,69
212,78
213,81
214,59
215,64
216,77
217,77
218,74
219,81
220,69
221,75
222,76
223,99
224,58
225,64
226,49
227,73
228,70
229,64
230,60
231,53
232,78
233,73
234,66
235,55
236,68
237,70
238,63
239,82
240,54
241,75
242,50
243,75
244,56
245,67
246,58
247,76
248,58
249,60
250,66
251,81
252,69
253,69
254,76
255,67
256,56
257,69
258,68
259,70
260,67
261,57
262,73
263,63
264,65
265,73
266,74
267,81
268,69
269,58
270,73
271,68
272,86
273,79
274,53
275,60
276,70
277,67
278,74
279,77
280,59
281,56
282,67
283,68
284,66
285,74
286,51
287,60
288,73
289,51
290,64
291,54
292,72
293,61
294,73
295,62
296,66
297,66
298,75
299,69
300,71
301,59
302,69
303,69
304,60
305,67
306,66
307,62
308,56
309,50
310,42
311,63
312,44
313,62
314,70
315,61
316,58
317,59
318,67
319,57
320,62
321,57
322,69
323,67
324,56
325,60
326,57
327,72
328,56
329,52
330,57
331,63
332,48
333,79
334,55
335,80
336,51
337,63
338,45
339,58
340,61
341,53
342,61
343,76
344,57
345,54
346,45
347,54
348,54
349,69
350,71
351,49
352,72
353,61
354,63
355,57
356,61
357,46
358,57
359,57
360,65
361,69
362,71
363,63
364,55
365,71
366,55
367,45
368,54
369,58
370,56
371,52
372,55
373,60
374,54
375,59
376,60
377,50
378,45
379,46
380,62
381,47
382,66
383,66
384,63
385,45
386,45
387,38
388,59
389,56
390,56
391,50
392,62
393,52
394,49
395,67
396,52
397,51
398,55
399,42
400,45
401,58
402,56
403,43
404,45
405,38
406,43
407,46
408,39
409,50
410,38
411,50
412,45
413,39
414,52
415,42
416,47
417,40
418,49
419,51
420,58
421,48
422,60
423,41
424,56
425,48
426,53
427,54
428,55
429,51
430,49
431,41
432,45
433,39
434,46
435,43
436,44
437,46
438,37
439,61
440,44
441,45
442,43
443,50
444,40
445,51
446,44
447,54
448,44
449,40
450,44
451,54
452,77
453,46
454,51
455,61
456,50
457,46
458,34
459,50
460,29
461,45
462,44
463,40
464,39
465,58
466,41
467,28
468,45
469,41
470,41
471,35
472,30
473,41
474,43
475,40
476,31
477,46
478,49
479,42
480,39
481,34
482,41
483,48
484,38
485,45
486,40
487,45
488,33
489,37
490,37
491,49
492,42
493,47
494,41
495,37
496,47
497,52
498,39
499,35
500,36
501,48
502,38
503,40
504,37
505,48
506,48
507,33
508,35
509,38
510,39
511,39
512,37
513,25
514,47
515,35
516,32
517,43
518,35
519,44
520,37
521,44
522,44
523,43
524,24
525,47
526,32
527,31
528,47
529,34
530,46
531,48
532,40
533,46
534,39
535,37
536,42
537,41
538,51
539,39
540,45
541,37
542,44
543,38
544,55
545,42
546,41
547,43
548,34
549,45
550,40
551,44
552,41
553,50
554,47
555,46
556,38
557,42
558,42
559,43
560,49
561,52
562,36
563,36
564,42
565,36
566,40
567,34
568,37
569,38
570,54
571,44
572,46
573,39
574,45
575,40
576,45
577,49
578,39
579,51
580,48
581,52
582,30
583,39
584,49
585,41
586,39
587,38
588,45
589,44
590,40
591,38
592,39
593,41
594,47
595,34
596,37
597,43
598,33
599,37
600,52
601,36
602,52
603,31
604,32
605,35
606,48
607,36
608,33
609,46
610,33
611,36
612,33
613,33
614,35
615,41
616,35
617,35
618,32
619,34
620,38
621,24
622,43
623,31
624,38
625,46
626,42
627,37
628,38
629,32
630,34
631,37
632,35
633,25
634,36
635,38
636,38
637,34
638,25
639,32
640,39
641,29
642,39
643,32
644,40
645,35
646,36
647,34
648,44
649,35
650,22
651,38
652,27
653,30
654,30
655,29
656,34
657,35
658,31
659,35
660,34
661,33
662,20
663,39
664,35
665,37
666,21
667,30
668,24
669,25
670,32
671,29
672,29
673,30
674,30
675,29
676,29
677,32
678,38
679,30
680,37
681,19
682,31
683,37
684,24
685,40
686,33
687,30
688,29
689,31
690,26
691,34
692,39
693,30
694,31
695,33
696,27
697,35
698,20
699,31
700,26
701,32
702,28
703,23
704,19
705,37
706,43
707,22
708,24
709,31
710,24
711,24
712,29
713,32
714,27
715,17
716,25
717,25
718,26
719,34
720,22
721,25
722,38
723,35
724,23
725,15
726,32
727,30
728,20
729,30
730,26
731,21
732,27
733,22
734,42
735,27
736,37
737,22
738,27
739,25
740,22
741,28
742,19
743,30
744,32
745,22
746,31
747,30
748,23
749,34
750,26
751,24
752,19
753,27
754,28
755,31
756,24
757,23
758,20
759,24
760,20
761,14
762,20
763,22
764,32
765,17
766,21
767,15
768,24
769,14
770,28
771,30
772,17
773,22
774,25
775,22
776,21
777,20
778,11
779,29
780,20
781,18
782,19
783,28
784,20
785,16
786,31
787,23
788,23
789,18
790,17
791,39
792,19
793,20
794,23
795,37
796,16
797,22
798,30
799,20
800,19
801,19
802,32
803,19
804,26
805,33
806,20
807,31
808,25
809,19
810,23
811,13
812,32
813,17
814,19
815,21
816,21
817,23
818,19
819,22
820,23
821,19
822,20
823,11
824,15
825,31
826,23
827,19
828,22
829,26
830,22
831,16
832,22
833,24
834,17
835,23
836,19
837,20
838,22
839,18
840,25
841,23
842,19
843,14
844,12
845,15
846,25
847,13
848,20
849,17
850,15
851,17
852,17
853,18
854,21
855,20
856,24
857,14
858,16
859,19
860,16
861,23
862,25
863,24
864,25
865,29
866,16
867,19
868,20
869,26
870,24
871,16
872,15
873,12
874,22
875,25
876,14
877,30
878,29
879,19
880,17
881,16
882,19
883,16
884,16
885,18
886,23
887,18
888,10
889,21
890,13
891,18
892,24
893,23
894,19
895,23
896,15
897,19
898,15
899,10
900,23
901,28
902,20
903,12
904,20
905,19
906,27
907,19
908,20
909,12
910,16
911,16
912,18
913,20
914,17
915,13
916,18
917,15
918,15
919,20
920,17
921,9
922,11
923,17
924,19
925,11
